接尾辞,動詞的,*,*,五段-マ行,仮定形-融合
接尾辞,動詞的,*,*,五段-マ行,終止形-一般
接尾辞,動詞的,*,*,五段-マ行,未然形-一般
接尾辞,動詞的,*,*,五段-マ行,命令形
接尾辞,動詞的,*,*,五段-マ行,連体形-一般
接尾辞,動詞的,*,*,五段-マ行,連用形-一般
接尾辞,動詞的,*,*,五段-マ行,連用形-融合
接尾辞,動詞的,*,*,五段-マ行,連用形-撥音便
接尾辞,動詞的,*,*,五段-ラ行,意志推量形
接尾辞,動詞的,*,*,五段-ラ行,仮定形-一般
接尾辞,動詞的,*,*,五段-ラ行,仮定形-融合
接尾辞,動詞的,*,*,五段-ラ行,終止形-一般
接尾辞,動詞的,*,*,五段-ラ行,終止形-撥音便
接尾辞,動詞的,*,*,五段-ラ行,未然形-一般
接尾辞,動詞的,*,*,五段-ラ行,未然形-撥音便
接尾辞,動詞的,*,*,五段-ラ行,命令形
接尾辞,動詞的,*,*,五段-ラ行,連体形-一般
接尾辞,動詞的,*,*,五段-ラ行,連体形-撥音便
接尾辞,動詞的,*,*,五段-ラ行,連用形-一般
接尾辞,動詞的,*,*,五段-ラ行,連用形-促音便
接尾辞,動詞的,*,*,五段-ラ行,連用形-融合
接尾辞,動詞的,*,*,五段-ラ行,連用形-撥音便
接尾辞,動詞的,*,*,上一段-マ行,意志推量形
接尾辞,動詞的,*,*,上一段-マ行,仮定形-一般
接尾辞,動詞的,*,*,上一段-マ行,仮定形-融合
接尾辞,動詞的,*,*,上一段-マ行,終止形-一般
接尾辞,動詞的,*,*,上一段-マ行,終止形-撥音便
接尾辞,動詞的,*,*,上一段-マ行,未然形-一般
接尾辞,動詞的,*,*,上一段-マ行,命令形
接尾辞,動詞的,*,*,上一段-マ行,連体形-一般
接尾辞,動詞的,*,*,上一段-マ行,連体形-撥音便
接尾辞,動詞的,*,*,上一段-マ行,連用形-一般
接尾辞,名詞的,サ変可能,*,*,*
接尾辞,名詞的,一般,*,*,*
接尾辞,名詞的,助数詞,*,*,*
接尾辞,名詞的,副詞可能,*,*,*
副詞,*,*,*,*,*
接続詞,*,*,*,*,*
動詞,一般,*,*,カ行変格,意志推量形
動詞,一般,*,*,カ行変格,仮定形-一般
動詞,一般,*,*,カ行変格,仮定形-融合
動詞,一般,*,*,カ行変格,終止形-一般
動詞,一般,*,*,カ行変格,終止形-撥音便
動詞,一般,*,*,カ行変格,未然形-一般
動詞,一般,*,*,カ行変格,命令形
動詞,一般,*,*,カ行変格,連体形-一般
動詞,一般,*,*,カ行変格,連体形-省略
動詞,一般,*,*,カ行変格,連体形-撥音便
動詞,一般,*,*,カ行変格,連用形-一般
動詞,一般,*,*,サ行変格,意志推量形
動詞,一般,*,*,サ行変格,仮定形-一般
動詞,一般,*,*,サ行変格,仮定形-融合
動詞,一般,*,*,サ行変格,終止形-一般
動詞,一般,*,*,サ行変格,終止形-撥音便
動詞,一般,*,*,サ行変格,未然形-セ
動詞,一般,*,*,サ行変格,未然形-一般
動詞,一般,*,*,サ行変格,命令形
動詞,一般,*,*,サ行変格,連体形-一般
動詞,一般,*,*,サ行変格,連体形-撥音便
動詞,一般,*,*,サ行変格,連用形-一般
動詞,一般,*,*,下一段-ア行,意志推量形
動詞,一般,*,*,下一段-ア行,仮定形-一般
動詞,一般,*,*,下一段-ア行,仮定形-融合
動詞,一般,*,*,下一段-ア行,終止形-一般
動詞,一般,*,*,下一段-ア行,終止形-促音便
動詞,一般,*,*,下一段-ア行,終止形-撥音便
動詞,一般,*,*,下一段-ア行,未然形-一般
動詞,一般,*,*,下一段-ア行,命令形
動詞,一般,*,*,下一段-ア行,連体形-一般
動詞,一般,*,*,下一段-ア行,連体形-省略
動詞,一般,*,*,下一段-ア行,連体形-撥音便
